[0.000000] (-) TimerEvent: {}
[2.403336] (-) TimerEvent: {}
[2.415909] (rcl) StdoutLine: {'line': b'-- Found FastRTPS: /robofuzz/ros2_foxy/install/fastrtps/include  \n'}
[2.503463] (-) TimerEvent: {}
[2.561284] (rcl) StdoutLine: {'line': b'-- Using all available rosidl_typesupport_cpp: rosidl_typesupport_introspection_cpp;rosidl_typesupport_fastrtps_cpp\n'}
[2.603612] (-) TimerEvent: {}
[2.637316] (rcl) StdoutLine: {'line': b'-- Found rcl_yaml_param_parser: 1.1.14 (/robofuzz/ros2_foxy/install/rcl_yaml_param_parser/share/rcl_yaml_param_parser/cmake)\n'}
[2.652597] (rcl) StdoutLine: {'line': b'-- Found rmw_implementation: 1.0.3 (/robofuzz/ros2_foxy/install/rmw_implementation/share/rmw_implementation/cmake)\n'}
[2.657088] (rcl) StdoutLine: {'line': b'-- Found rmw_implementation_cmake: 1.0.3 (/robofuzz/ros2_foxy/install/rmw_implementation_cmake/share/rmw_implementation_cmake/cmake)\n'}
[2.667745] (rcl) StdoutLine: {'line': b"-- Using RMW implementation 'rmw_fastrtps_cpp' as default\n"}
[2.669368] (rcl) StdoutLine: {'line': b'-- Looking for pthread.h\n'}
[2.703859] (-) TimerEvent: {}
[2.804123] (-) TimerEvent: {}
[2.837182] (rcl) StdoutLine: {'line': b'-- Looking for pthread.h - found\n'}
[2.837564] (rcl) StdoutLine: {'line': b'-- Performing Test CMAKE_HAVE_LIBC_PTHREAD\n'}
[2.904254] (-) TimerEvent: {}
[3.004578] (-) TimerEvent: {}
[3.039645] (rcl) StdoutLine: {'line': b'-- Performing Test CMAKE_HAVE_LIBC_PTHREAD - Success\n'}
[3.040732] (rcl) StdoutLine: {'line': b'-- Found Threads: TRUE  \n'}
[3.067635] (rcl) StdoutLine: {'line': b'-- Found tracetools: 1.0.5 (/robofuzz/ros2_foxy/install/tracetools/share/tracetools/cmake)\n'}
[3.076421] (rcl) StdoutLine: {'line': b'-- Found rcl_logging_spdlog: 1.1.0 (/robofuzz/ros2_foxy/install/rcl_logging_spdlog/share/rcl_logging_spdlog/cmake)\n'}
[3.104681] (-) TimerEvent: {}
[3.123567] (rcl) StdoutLine: {'line': b'-- Found ament_lint_auto: 0.9.7 (/robofuzz/ros2_foxy/install/ament_lint_auto/share/ament_lint_auto/cmake)\n'}
[3.204775] (-) TimerEvent: {}
[3.305079] (-) TimerEvent: {}
[3.391154] (rcl) StdoutLine: {'line': b'-- Found python_cmake_module: 0.8.1 (/robofuzz/ros2_foxy/install/python_cmake_module/share/python_cmake_module/cmake)\n'}
[3.405188] (-) TimerEvent: {}
[3.484163] (rcl) StdoutLine: {'line': b'-- Found PythonInterp: /usr/bin/python3 (found suitable version "3.8.10", minimum required is "3.5") \n'}
[3.502053] (rcl) StdoutLine: {'line': b'-- Found PythonLibs: /usr/lib/x86_64-linux-gnu/libpython3.8.so (found suitable version "3.8.10", minimum required is "3.5") \n'}
[3.502289] (rcl) StdoutLine: {'line': b'-- Using PYTHON_EXECUTABLE: /usr/bin/python3\n'}
[3.502389] (rcl) StdoutLine: {'line': b'-- Using PYTHON_INCLUDE_DIRS: /usr/include/python3.8\n'}
[3.502473] (rcl) StdoutLine: {'line': b'-- Using PYTHON_LIBRARIES: /usr/lib/x86_64-linux-gnu/libpython3.8.so\n'}
[3.505286] (-) TimerEvent: {}
[3.596487] (rcl) StdoutLine: {'line': b'-- Found PythonExtra: .so  \n'}
[3.605391] (-) TimerEvent: {}
[3.705618] (-) TimerEvent: {}
[3.780428] (rcl) StdoutLine: {'line': b"-- Found gtest sources under '/robofuzz/ros2_foxy/install/gtest_vendor/src/gtest_vendor': C++ tests using 'Google Test' will be built\n"}
[3.805721] (-) TimerEvent: {}
[3.820309] (rcl) StdoutLine: {'line': b"-- Creating tests for 'rmw_cyclonedds_cpp'\n"}
[3.905836] (-) TimerEvent: {}
[4.006087] (-) TimerEvent: {}
[4.106352] (-) TimerEvent: {}
[4.206616] (-) TimerEvent: {}
[4.303425] (rcl) StdoutLine: {'line': b'-- Enabling only source timestamp test for rmw_cyclonedds_cpp\n'}
[4.306708] (-) TimerEvent: {}
[4.406938] (-) TimerEvent: {}
[4.507243] (-) TimerEvent: {}
[4.607578] (-) TimerEvent: {}
[4.693083] (rcl) StdoutLine: {'line': b"-- Creating tests for 'rmw_fastrtps_cpp'\n"}
[4.707675] (-) TimerEvent: {}
[4.807903] (-) TimerEvent: {}
[4.908172] (-) TimerEvent: {}
[5.008435] (-) TimerEvent: {}
[5.108693] (-) TimerEvent: {}
[5.208954] (-) TimerEvent: {}
[5.267829] (rcl) StdoutLine: {'line': b'-- Enabling message timestamp test for rmw_fastrtps_cpp\n'}
[5.309054] (-) TimerEvent: {}
[5.409279] (-) TimerEvent: {}
[5.509539] (-) TimerEvent: {}
[5.609655] (rcl) StdoutLine: {'line': b"-- Creating tests for 'rmw_fastrtps_dynamic_cpp'\n"}
[5.609822] (-) TimerEvent: {}
[5.710038] (-) TimerEvent: {}
[5.810300] (-) TimerEvent: {}
[5.910564] (-) TimerEvent: {}
[6.010828] (-) TimerEvent: {}
[6.111091] (-) TimerEvent: {}
[6.211372] (-) TimerEvent: {}
[6.311633] (-) TimerEvent: {}
[6.411901] (-) TimerEvent: {}
[6.506776] (rcl) StdoutLine: {'line': b'-- Enabling message timestamp test for rmw_fastrtps_dynamic_cpp\n'}
[6.511997] (-) TimerEvent: {}
[6.612219] (-) TimerEvent: {}
[6.712482] (-) TimerEvent: {}
[6.812744] (-) TimerEvent: {}
[6.913014] (-) TimerEvent: {}
[6.934126] (rcl) StdoutLine: {'line': b"-- Added test 'copyright' to check source files copyright and LICENSE\n"}
[6.942847] (rcl) StdoutLine: {'line': b"-- Added test 'cppcheck' to perform static code analysis on C / C++ code\n"}
[6.943141] (rcl) StdoutLine: {'line': b'-- Configured cppcheck include dirs: $<BUILD_INTERFACE:/robofuzz/ros2_foxy/src/ros2/rcl/rcl/include>\n'}
[6.943244] (rcl) StdoutLine: {'line': b'-- Configured cppcheck exclude dirs and/or files: \n'}
[6.951206] (rcl) StdoutLine: {'line': b"-- Added test 'cpplint' to check C / C++ code against the Google style\n"}
[6.951310] (rcl) StdoutLine: {'line': b'-- Configured cpplint exclude dirs and/or files: \n'}
[6.955503] (rcl) StdoutLine: {'line': b"-- Added test 'lint_cmake' to check CMake code style\n"}
[6.964160] (rcl) StdoutLine: {'line': b"-- Added test 'uncrustify' to check C / C++ code style\n"}
[6.964264] (rcl) StdoutLine: {'line': b'-- Configured uncrustify additional arguments: \n'}
[6.966873] (rcl) StdoutLine: {'line': b"-- Added test 'xmllint' to check XML markup files\n"}
[6.983709] (rcl) StdoutLine: {'line': b'-- Configuring done\n'}
[7.013130] (-) TimerEvent: {}
[7.113381] (-) TimerEvent: {}
[7.213644] (-) TimerEvent: {}
[7.313880] (-) TimerEvent: {}
[7.414177] (-) TimerEvent: {}
[7.514438] (-) TimerEvent: {}
[7.614703] (-) TimerEvent: {}
[7.714961] (-) TimerEvent: {}
[7.815223] (-) TimerEvent: {}
[7.915486] (-) TimerEvent: {}
[7.936378] (rcl) StdoutLine: {'line': b'-- Generating done\n'}
[7.947858] (rcl) StdoutLine: {'line': b'-- Build files have been written to: /robofuzz/ros2_foxy/build/rcl\n'}
[7.968788] (rcl) CommandEnded: {'returncode': 0}
[7.969598] (rcl) JobProgress: {'identifier': 'rcl', 'progress': 'build'}
